PX,Main,Midblock Route,Side 1 Route,Side 2 Route,Activation Date,latitude,longitude,Count Date,8HrVehVol,8HrPedVol
1157,LAWRENCE AVE W,,ALLEN X S LAWRENCE E RAMP,LAWRENCE W ALLEN X S RAMP,22-Apr-1976,43.71588422,-79.44517821,6/20/2013,25170,6481
1158,LAWRENCE AVE W,,ALLEN X N LAWRENCE RAMP,LAWRENCE E ALLEN X N RAMP,09-Aug-1976,43.71626181,-79.44341594,6/19/2013,22596,2759
1159,HIGHWAY 27,,CARRIER DR,,14-Feb-1977,43.73914,-79.60533,8/7/2013,16961,132
1161,HIGHWAY 27,,REXDALE BLVD,,29-May-1980,43.71726,-79.59569,11/4/2013,28091,101
1164,HIGHWAY 27,,ALBION RD,,26-May-1976,43.7443,-79.6076,1/29/2013,26619,74
1169,SHEPPARD AVE W,,BEECROFT RD,,18-Jun-1981,43.76109,-79.41317,5/2/2013,23388,2257
1170,BRIMLEY RD,,HUNTINGWOOD DR,,14-Apr-1976,43.7984054,-79.2733852,3/13/2013,19149,234
1170,BRIMLEY RD,,HUNTINGWOOD DR,,14-Apr-1976,43.7984054,-79.2733852,5/14/2013,22022,1042
1191,STEELES AVE E,,WARDEN AVE,,22-Sep-1978,43.81968,-79.32442,11/4/2013,41078,2125
1192,STEELES AVE E,,KENNEDY RD,,12-May-1975,43.82371,-79.30705,3/3/2013,39517,2859
1200,SHEPPARD AVE E,,DORIS AVE,,01-Apr-1978,43.76217,-79.40825,5/13/2013,22020,5683
1201,KINGSTON RD,,PORT UNION RD,SHEPPARD AVE E,06-Jul-1968,43.79897,-79.14627,7/11/2013,24909,824
1205,FINCH AVE E,,KENNETH AVE,,10-Apr-1978,43.78048,-79.41231,5/2/2013,17182,1914
1208,STEELES AVE W,,ISLINGTON AVE,,06-Apr-1976,43.76436,-79.5748,5/28/2013,30878,798
1219,PORT UNION RD,,ISLAND RD,PORT UNION N 401 C E RAMP,15-Nov-1972,43.79586902,-79.14370396,4/11/2013,16226,35
1233,LESLIE ST,30m NORTH OF,RAVEL RD,,30-Oct-1975,43.79182,-79.36843,12/17/2013,10557,166
1242,MIDLAND AVE,,PITFIELD RD,,05-Feb-1980,43.78062,-79.27612,7/24/2013,13358,169
1251,VICTORIA PARK AVE,,CLYDESDALE DR,,26-Sep-1976,43.783885,-79.32706,10/10/2013,15182,284
1253,FINCH AVE W,,CHESSWOOD DR,PRIVATE ACCESS,22-Nov-1977,43.7665,-79.47752,7/29/2013,18266,201
1257,FINCH AVE E,,MARKHAM RD,,06-Nov-1973,43.81302,-79.24308,3/13/2013,29546,593
1273,DUNDAS ST W,,HURON ST,,22-Jul-1976,43.65336,-79.39612,3/27/2013,7630,9393
1278,EGLINTON AVE W,,LLOYD MANOR RD,WIDDICOMBE HILL BLVD,23-Jan-1985,43.67566,-79.55768,12/9/2013,26282,455
1295,PHARMACY AVE,,ASHTONBEE RD,,28-Jul-1978,43.7285507,-79.2985955,3/12/2013,11794,799
1321,KIPLING AVE,,BLOOR ST W,KIPLING N DUNDAS W RAMP,07-Aug-1976,43.6417405,-79.53555821,1/10/2013,19184,104
1322,KIPLING AVE,,NEW TORONTO ST,PRIVATE ACCESS,15-Oct-1976,43.60398,-79.51933,12/11/2013,10857,641
1325,LAKE SHORE BLVD W,,ISLINGTON AVE,SEVENTH ST,12-Jul-1979,43.60083,-79.50525,12/10/2013,9550,2013
1328,OLD WESTON RD,,TURNBERRY AVE,,04-Dec-1978,43.67841,-79.46481,10/17/2013,9529,472
1329,QUEEN ST W,,DUFFERIN ST,,02-Feb-1978,43.64222,-79.42863,6/3/2013,15233,3793
1348,BLACK CREEK DR,,LAWRENCE AVE W,,06-Aug-1981,43.70496,-79.49411,8/28/2013,38624,179
1354,DIXON RD,,GOLFWOOD HTS,PRIVATE ACCESS,29-May-1980,43.69863,-79.53984,2/19/2013,12460,152
1407,WILLIAM R ALLEN RD,,SHEPPARD AVE W,,12-Jul-1981,43.75028,-79.46338,5/27/2013,42997,1185
1422,BLACK CREEK DR,,EGLINTON AVE W,,10-Apr-1982,43.68839,-79.48285,3/27/2013,27273,352
1449,DUFFERIN ST,,LIBERTY ST,PRIVATE ACCESS,21-Apr-1983,43.63711,-79.42664,5/23/2013,10457,1186
1453,SHEPPARD AVE E,,PARKWAY FOREST DR,PRIVATE ACCESS,27-Jan-1983,43.77588,-79.34371,6/6/2013,27870,1480
1467,STEELES AVE W,,CACTUS AVE,PALM GATE BLVD,09-Jul-1983,43.79445,-79.43654,7/22/2013,21076,1237
1571,JANE ST,,PRITCHARD AVE,,03-Jan-1989,43.66949,-79.49279,11/25/2013,12072,715
1579,SPADINA AVE,,BREMNER BLVD,,28-May-1989,43.64054,-79.39294,10/3/2013,23696,6092
1581,VICTORIA PARK AVE,,SUNRISE AVE,HOLSWADE RD,28-Jun-1989,43.71981,-79.3006,3/19/2013,12250,706
1583,STEELES AVE E,,MARKHAM RD,,01-Jan-1966,43.83663,-79.25116,10/8/2013,36166,1333
1585,VICTORIA PARK AVE,,ARNCLIFFE CRES,PRIVATE ACCESS,21-Sep-1989,43.73188,-79.30559,5/9/2013,15720,485
1592,KENNEDY RD,,SUFFERANCE RD,PRIVATE ACCESS,11-Jan-1989,43.77734,-79.28561,9/30/2013,29744,326
1593,QUEENS QUAY W,,BATHURST ST,,25-Jan-1990,43.63568,-79.39829,6/4/2013,7586,2435
1624,LAWRENCE AVE W,55m EAST OF,OLYMPIA DR,PRIVATE ACCESS,28-Mar-1991,43.70569,-79.49091,6/7/2013,18305,578
1626,MOUNT PLEASANT RD,,SHERWOOD AVE,,05-Oct-1991,43.71501,-79.39264,1/23/2013,14627,611
1631,SHEPPARD AVE E,,KENNETH AVE,LEONA DR,11-Jul-1991,43.76292,-79.40475,4/30/2013,22990,1877
1654,EGLINTON AVE W,,RAKELY CRT,SPECTRUM WAY,23-Dec-1992,43.64872,-79.60632,12/9/2013,14635,298
1675,JANE ST,35m NORTH OF,MARSHLYNN AVE,,20-Dec-1994,43.70472,-79.50427,11/25/2013,17020,1342
1705,PARK HOME AVE,,BEECROFT RD,,01-Mar-1995,43.76854,-79.41629,5/13/2013,13398,1427
1748,EGLINTON AVE W,,OLD FOREST HILL RD,,26-Nov-1996,43.70152,-79.42314,7/10/2013,15671,860
